bedroom|bathroom|garage|parking|erf-size|building-size|price
6|6|4|NaN|2,498 m²|NaN|R18,950,000
5|5|2|NaN|863 m²|580 m²|R18,950,000
5|5.5|2|NaN|583 m²|NaN|R18,950,000
4|3|3|NaN|1,046 m²|NaN|R18,900,000
3|2.5|NaN|2|NaN|216 m²|R18,900,000
4|4|2|NaN|3,548 m²|650 m²|R18,500,000
2|2|NaN|2|NaN|152 m²|R18,400,000
3|3.5|NaN|2|292 m²|NaN|R18,350,000
4|4|4|NaN|949 m²|780 m²|R18,300,000
5|6|3|NaN|308 m²|NaN|R18,000,000
4|4|2|NaN|NaN|379 m²|R17,995,000
5|5|3|4|4,212 m²|580 m²|R17,950,000
5|4|2|NaN|1,105 m²|NaN|R17,950,000
5|5.5|4|NaN|819 m²|579 m²|R17,900,000
5|5|2|NaN|1,400 m²|NaN|R17,550,000
3|3|2|NaN|301 m²|350 m²|R17,500,000
2|2.5|1|NaN|NaN|242 m²|R17,500,000
2|2|NaN|2|NaN|138 m²|R17,244,250
3|3.5|2|NaN|826 m²|380 m²|R17,100,000
3|2|2|NaN|269 m²|380 m²|R16,995,000
7|6.5|3|NaN|1,531 m²|650 m²|R16,995,000
5|4|2|1|896 m²|738 m²|R16,995,000
7|5|4|NaN|1,535 m²|NaN|R16,995,000
4|4.5|NaN|NaN|750 m²|NaN|R16,995,000
6|5|NaN|NaN|3,412 m²|450 m²|R16,950,000
3|3|NaN|2|NaN|282 m²|R16,950,000
4|3|3|NaN|2,086 m²|480 m²|R16,900,000
9|10|5|NaN|3,141 m²|750 m²|POA
5|5.5|3|NaN|1,358 m²|NaN|R16,550,000
3|3.5|NaN|2|NaN|267 m²|R16,500,000
3|4|1|2|NaN|368 m²|R16,400,000
3|3.5|2|NaN|1,021 m²|500 m²|R16,250,000
3|2|NaN|2|NaN|174 m²|R16,094,250
4|5|3|NaN|823 m²|950 m²|R15,995,000
4|4|2|NaN|1,017 m²|480 m²|R15,995,000
4|4.5|2|NaN|461 m²|NaN|R15,990,000
5|5|4|NaN|850 m²|1,020 m²|R15,955,000
4|4|NaN|2|465 m²|NaN|R15,950,000
3|3|2|4|1,418 m²|518 m²|R15,950,000
4|4|2|NaN|1,009 m²|475 m²|R15,950,000
3|3|NaN|2|306 m²|306 m²|R15,950,000
4|3.5|2|NaN|446 m²|NaN|R15,900,000
5|3|4|NaN|1,243 m²|NaN|R15,900,000
6|5.5|3|NaN|711 m²|656 m²|R15,800,000
4|3|2|NaN|600 m²|340 m²|R15,500,000
4|4|5|NaN|1,071 m²|671 m²|R15,500,000
3|3|5|NaN|1,194 m²|533 m²|R15,495,000
5|5.5|2|NaN|664 m²|680 m²|R15,490,000
2|2.5|NaN|2|NaN|146 m²|R15,252,000
5|5|3|NaN|728 m²|NaN|R15,250,000
2|2|NaN|NaN|NaN|130 m²|R15,250,000
2|2.5|NaN|2|NaN|153 m²|R15,250,000
9|9|NaN|NaN|2,522 m²|320 m²|R15,000,000
4|3|3|NaN|473 m²|NaN|R14,999,999
4|4|4|NaN|962 m²|NaN|R14,995,000
4|7|3|NaN|784 m²|680 m²|R14,995,000
4|4|NaN|NaN|543 m²|NaN|R14,995,000
2|2.5|NaN|2|NaN|315 m²|R14,995,000
5|6|3|NaN|945 m²|NaN|R14,995,000
4|4|3|NaN|864 m²|480 m²|R14,950,000
6|6|5|NaN|635 m²|1,000 m²|R14,950,000
6|6|2|NaN|798 m²|NaN|R14,950,000
6|6.5|2|6|1,788 m²|NaN|R14,950,000
4|3|2|NaN|2,036 m²|NaN|R14,900,000
4|2.5|2|NaN|864 m²|NaN|R14,750,000
4|3|2|NaN|895 m²|NaN|R14,695,000
4|4|2|NaN|968 m²|580 m²|R14,500,000
6|5|3|NaN|695 m²|NaN|R14,500,000
4|4|2|NaN|933 m²|643 m²|R14,495,000
5|4|2|NaN|972 m²|680 m²|R14,495,000
4|3|3|NaN|NaN|325 m²|R14,450,000
4|3.5|2|NaN|2,080 m²|NaN|R14,250,000
5|4|2|NaN|809 m²|NaN|R13,995,000
5|3.5|2|NaN|445 m²|NaN|R13,995,000
5|5|4|NaN|513 m²|NaN|R13,995,000
5|3.5|2|NaN|1,060 m²|NaN|R13,995,000
4|4.5|4|4|1,447 m²|550 m²|R13,995,000
3|3.5|NaN|2|NaN|226 m²|R13,995,000
2|2|NaN|2|NaN|168 m²|R13,950,000
4|4.5|2|NaN|1,001 m²|361 m²|R13,950,000
4|4|2|NaN|NaN|388 m²|R13,950,000
3|2|2|NaN|843 m²|480 m²|R13,900,000
5|4.5|3|NaN|2,025 m²|615 m²|R13,900,000
4|5|2|NaN|701 m²|NaN|R13,900,000
